stamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23
1714575061.090377331, -0.786, -0.570, 0.237, -128.020, 0.580, -0.814, -0.034, 38.101, 0.212, 0.110, 0.971, 13.984
1714575062.090296984, -0.800, -0.551, 0.235, -128.217, 0.560, -0.828, -0.036, 38.191, 0.215, 0.103, 0.971, 14.029
1714575063.090216398, -0.829, -0.505, 0.239, -128.232, 0.514, -0.857, -0.029, 38.212, 0.220, 0.099, 0.971, 14.034
1714575064.090135813, -0.847, -0.478, 0.233, -128.356, 0.484, -0.875, -0.035, 38.264, 0.220, 0.083, 0.972, 14.059
1714575065.090055227, -0.867, -0.444, 0.228, -128.347, 0.454, -0.891, -0.008, 38.280, 0.207, 0.097, 0.974, 14.051
1714575066.089974642, -0.860, -0.449, 0.243, -128.392, 0.459, -0.888, -0.015, 38.316, 0.222, 0.099, 0.970, 14.059
1714575067.089894295, -0.859, -0.468, 0.210, -128.341, 0.474, -0.880, -0.020, 38.190, 0.194, 0.083, 0.977, 14.081
1714575068.089813709, -0.862, -0.459, 0.214, -128.236, 0.464, -0.885, -0.030, 38.240, 0.203, 0.074, 0.976, 14.061
1714575069.089733124, -0.863, -0.461, 0.205, -128.417, 0.467, -0.884, -0.023, 38.344, 0.192, 0.076, 0.978, 14.085
1714575070.089652538, -0.830, -0.513, 0.220, -128.476, 0.520, -0.854, -0.030, 38.281, 0.203, 0.089, 0.975, 14.058
1714575071.089571953, -0.820, -0.527, 0.222, -128.475, 0.534, -0.845, -0.032, 38.281, 0.204, 0.093, 0.975, 14.058
1714575072.089491606, -0.781, -0.602, 0.165, -128.272, 0.599, -0.797, -0.076, 38.425, 0.177, 0.040, 0.983, 14.169
1714575073.089410782, -0.775, -0.617, 0.139, -128.277, 0.612, -0.787, -0.082, 38.424, 0.160, 0.022, 0.987, 14.170
1714575074.089330435, -0.667, -0.730, 0.152, -128.127, 0.725, -0.682, -0.097, 38.302, 0.174, 0.045, 0.984, 14.106
1714575075.089249849, -0.661, -0.735, 0.147, -128.128, 0.729, -0.676, -0.104, 38.300, 0.176, 0.038, 0.984, 14.106
1714575076.089169264, -0.713, -0.674, 0.194, -128.062, 0.676, -0.734, -0.063, 38.258, 0.185, 0.086, 0.979, 14.011
1714575077.089088917, -0.698, -0.699, 0.155, -128.012, 0.695, -0.714, -0.084, 38.227, 0.170, 0.049, 0.984, 14.006
1714575078.089008093, -0.677, -0.719, 0.158, -127.974, 0.707, -0.695, -0.131, 38.098, 0.204, 0.024, 0.979, 13.943
1714575079.088927746, -0.670, -0.726, 0.156, -127.994, 0.713, -0.687, -0.139, 38.126, 0.208, 0.018, 0.978, 13.906
1714575080.088847160, -0.664, -0.730, 0.162, -128.109, 0.723, -0.682, -0.107, 38.077, 0.189, 0.046, 0.981, 13.892
1714575081.088766575, -0.672, -0.730, 0.125, -127.503, 0.716, -0.683, -0.143, 37.843, 0.190, -0.006, 0.982, 13.809
1714575082.088685989, -0.674, -0.729, 0.120, -127.225, 0.704, -0.683, -0.195, 37.838, 0.224, -0.047, 0.973, 13.760
1714575083.088605642, -0.653, -0.752, 0.091, -127.213, 0.738, -0.659, -0.146, 37.720, 0.170, -0.028, 0.985, 13.713
1714575084.088525057, -0.667, -0.737, 0.111, -127.243, 0.721, -0.676, -0.150, 37.776, 0.186, -0.020, 0.982, 13.740
1714575085.088444471, -0.636, -0.746, 0.195, -126.934, 0.736, -0.663, -0.134, 37.513, 0.230, 0.058, 0.972, 13.632
1714575086.088363886, -0.401, -0.890, 0.218, -126.806, 0.883, -0.439, -0.168, 37.259, 0.245, 0.125, 0.961, 13.576
1714575087.088283300, -0.385, -0.922, 0.047, -126.852, 0.915, -0.388, -0.106, 37.392, 0.115, 0.002, 0.993, 13.622
1714575088.088202953, -0.387, -0.922, -0.031, -126.843, 0.908, -0.375, -0.188, 37.313, 0.162, -0.101, 0.982, 13.617
1714575089.088122368, -0.470, -0.882, -0.037, -126.847, 0.861, -0.449, -0.238, 37.301, 0.193, -0.144, 0.971, 13.616
